sentence,ambiguity_type,interpretation_1,interpretation_2,interpretation_3
The painting of the artist is valuable,STRUCT,The painting done by the artist is valuable,The painting depicting the artist is valuable,
A stolen painting was found by a tree,STRUCT,A stolen painting was found near a tree,A tree found a stolen painting,
A stolen painting was found by a man,STRUCT,A stolen painting was found near a man,A man found a stolen painting,
The shooting of the elk was dreadful,STRUCT,Someone shooting the elk was dreadful,The elk doing the shooting was dreadful,
The discovery of the astronomers changed something,STRUCT,What the astronomers discovered changed something,Someone's discovery of the astronomers changed something,
James and Will got divorced,RECIPROCAL,James and Will divorced each other,They each divorced someone (but not each other),
Hannah and Jason got divorced,RECIPROCAL,Hannah and Jason divorced each other,They each divorced someone (but not each other),
She saw John flying to Paris,PRONOUN,She saw John while she was flying to Paris,She saw John while he was flying to Paris,
He's been working since 12,TEMPORAL,He has been working since the age of 12,He has been working since 12:00,
She visited twice in January,TEMPORAL,She made two visits in January,She visited on two separate Januarys,
Stacy watched Joanna leave with tears in her eyes,PRONOUN,Stacy had tears in her eyes while watching Joanna leave,Stacy watched Joanna leave with tears in her eyes,
Visiting professors can be interesting,LEXICAL,Professors who are visiting can be interesting,The act of visiting professors can be interesting,
They fed her dog biscuits,LEXICAL,They give biscuits to her dog,They gave her (a person) dog biscuits,
I watched the race with my father,PP-ATTACH,I observed the race while being with my father,I observed the race that involved my father,
The prosecution of the lawyers was controversial,STRUCT,Lawyers prosecuting cases was controversial,Someone prosecuting the lawyers was controversial,
The bill was passed by the house,STRUCT,The bill was passed by the House (legislative body),The bill was handed/passed near a house (building),
Organic fruits and vegetables were sold,COORD,Organic vegetables and organic fruits were sold,Organic vegetables and fruits (of any type) were sold,
Blue shirts and pants were donated,COORD,Blue shirts and blue pants were donated,Blue shirts and pants (of any color) were donated,
I like baking bread more than cakes,COMPARE,I like breaking bread more than I like baking cakes,I like baking bread more than I like cakes (not baking them),
Ten volunteers helped every family,SCOPE,Ten specific volunteers helped all families,"For each family, ten volunteers (possibly different) helped them",
The recording of the musicians was excellent,STRUCT,What the musicians recorded was excellent,Someone recording the musicians was excellent,
They didn't cancel because it was sunny,CAUSAL,They cancelled but the sun wasn't the reason,They didn't cancel; the sun was the reason,
He has been running since 5,TEMPORAL,He has been running since 5:00 (time),He has been running since the age of 5,
He has been teaching since 8,TEMPORAL,He has been teaching since 8:00 (time),He has been teaching since the age of 8,
She can't bear children,LEXICAL,She can't tolerate children,She can't give birth to children,
The neighbors quarreled over the fence,PP-ATTACH,The neighbors quarreled with each other on opposite sides of the fence,The neighbors quarreled with each other about the fence,
Maria painted the woman on the balcony,PP-ATTACH,Maria painted a picture of the woman who was on the balcony,Maria was on the balcony when she painted the woman,
The man hit the thief with the cane,PP-ATTACH,The man used a cane to hit the thief,The thief had a cane,
The woman hit the man with the newspaper,PP-ATTACH,The woman used a newspaper to hit the man,The man had a newspaper,
The man shot the model on the beach,PP-ATTACH,The model was shot (violence) on the beach,The model was photographed on the beach,
Someone cleaned the table with the rag,PP-ATTACH,The rag was used for cleaning the table,The table came with a rag on it,
The girl chased the boy on the bike,PP-ATTACH,The girl was on the bike,The boy was on the bike,
The dog followed the man with the flashlight,PP-ATTACH,The dog had a flashlight,The man had a flashlight,
The doctor examined the patient with gloves,PP-ATTACH,The doctor had gloves,The patient had gloves,
The cat chased the mouse in the kitchen,PP-ATTACH,The chasing occurred in the kitchen,The mouse was in the kitchen,
The student wrote the essay on the computer,PP-ATTACH,The student used the computer,The essay was about a computer,
The horse followed the rider with the rope,PP-ATTACH,The rider had a rope,The horse had a rope,
The boy kicked the ball near the school,PP-ATTACH,The kicking happened near the school,The ball was near the school,
Everyone didn't attend the meeting,SCOPE,Not everyone attended (some were absent),Everyone was absent from the meeting,
